date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-26 07:33:23,smallcappick,,0,1,1,"#PETREL #PET Its fallen a long way and i'm really excited about their Iraq assets in particular. Won't be surpriserd to see this trading back at 10p+ over the summer. ",,,#PETREL #PET,1265184239965872128,https://twitter.com/smallcappick/status/1265184239965872128
2020-05-26 07:31:35,DouglasJohnWri1,Blowster85,1,2,0,"#PET ""#PET is fortunate to have maintained strong relationships with Ministry of Oil officials, even during the darkest hours of sanctions, invasion, conflict, and Covid-19. Our Iraqi Director is a son of the renowned ""driller"", M Ahmed. In Iraq we found World-class geology."" ",,,#PET #PET,1265183785169100800,https://twitter.com/DouglasJohnWri1/status/1265183785169100800
2020-05-26 07:30:09,WizardAim,AIMstockpicks,0,0,3,"yes looks primed from this level. #PET",,,#PET,1265183427239858176,https://twitter.com/WizardAim/status/1265183427239858176
2020-05-26 07:25:59,Blowster85,,0,2,3,"#PET #Petrel - Fallen a long long way past few months. Expect alot of progress on their Iraq &amp; Guana Assets from here. Breakout of wedge should see 9.5p-11.5p confluence area as first target. Plenty of upside potential from these lows. Sub 4p a steal",,,#PET #Petrel,1265182378311454720,https://twitter.com/Blowster85/status/1265182378311454720
2020-05-26 07:08:17,Blowster85,,1,1,2,"#PET #PETREL - Picked up a few this morning open market. Got scaled back in 3.25p placing. Dropped from 26p in Jan. Their Iraq &amp; Guana Assets should be in play over the weeks and months ahead. Will multibag from here given the Tamraz situation is resolved as per 18th May RNS",,,#PET #PETREL,1265177924006752257,https://twitter.com/Blowster85/status/1265177924006752257
2020-05-26 07:05:15,Kassandra_ART,,1,0,6,"Day 25! Naxxy! Whoa what an adventure this one was!! #maysketchaday #art #zbrush #worldofwarcraft #blizzardentertainment #naxxramas #classicwow #skull #raid #gameart #pet ",,,#maysketchaday #art #zbrush #worldofwarcraft #blizzardentertainment #naxxramas #classicwow #skull #raid #gameart #pet,1265177159489867777,https://twitter.com/Kassandra_ART/status/1265177159489867777
2020-05-26 06:50:14,WizardAim,,0,0,1,"Bought some #PET two weeks ago and took some of the placing announced today. Got massively scaled back in the fundraise so demand is big. Expect this to push back towards 10p very quickly",,,#PET,1265173380837277697,https://twitter.com/WizardAim/status/1265173380837277697
2020-05-26 06:48:23,DouglasJohnWri1,AIMstockpicks,0,1,2,"#PET ""As a low-cost producer, Iraq is now well positioned to exploit this historic opportunity. I believe that Petrel has the experience, contacts and board commitment to help drive forward the next phase of Iraqi oil development."" ",,,#PET,1265172916213370880,https://twitter.com/DouglasJohnWri1/status/1265172916213370880
2020-05-26 06:37:53,AIMstockpicks,,3,4,5,"#PET Placing at 3.25p. ""Petrel expects 2 enter into re-qualification discussions with the appropriate decision-makers at the Ministry of Oil. Petrel is fortunate to have maintained strong relationships with Ministry of Oil officials"".",,,#PET,1265170271696281607,https://twitter.com/AIMstockpicks/status/1265170271696281607
2020-05-26 06:15:00,labordeolivier,,0,14,10,"The ultimate gadget-packed #luggage that follows you like a #pet by @gigadgets_ &amp; @Sharleneisenia @jblefevre60 @sebbourguignon @tewoz @Ym78200 @ipfconline1 @kalydeoo @VivekGhosal @AshokNellikar @ShiCooks @Fabriziobustama @FrRonconi @NevilleGaunt @HaroldSinnott @Paula_Piccard",,@gigadgets_ @Sharleneisenia @jblefevre60 @sebbourguignon @tewoz @Ym78200 @ipfconline1 @kalydeoo @VivekGhosal @AshokNellikar @ShiCooks @Fabriziobustama @FrRonconi @NevilleGaunt @HaroldSinnott @Paula_Piccard,#luggage #pet,1265164513072107521,https://twitter.com/labordeolivier/status/1265164513072107521
2020-05-26 06:11:58,mozEIGHT,,0,0,1,"#PET NOT a 20p premium placing this time then - I wonder why",,,#PET,1265163749532598272,https://twitter.com/mozEIGHT/status/1265163749532598272
2020-05-26 06:03:26,MorphMarket,,0,0,7,"Tango Crush Tangerine Female Leopard Gecko by Gecko Daddy, $399 #lizards #herps #morph #pets #pet #herp #reptile https://www.morphmarket.com/us/c/reptiles/lizards/leopard-geckos/185503?utm_source=twitter&amp;utm_medium=post&amp;utm_content=185503&amp;utm_campaign=twitter-featured-ad",,,#lizards #herps #morph #pets #pet #herp #reptile,1265161601524674561,https://twitter.com/MorphMarket/status/1265161601524674561
